strategy,window_key,window,trades,profit_total_pct,profit_total_abs,winrate,profit_factor,expectancy,sharpe,sortino,calmar,sqn,p_value,max_dd_pct,max_dd_abs,cagr
AtrSlShort,20210101-20211231,2021,538,-0.71,-708.6705294200001,0.21933085501858737,0.6274047868461156,-1.31723146732342,-4.9539638311914915,-13.964020915923747,-4.407341233871427,-4.0655,5.51061373001393e-05,0.8439422796900033,843.942,-0.007106104926301926
AtrSlShort,20220101-20221231,2022,488,0.54,540.24221253,0.29918032786885246,1.5441469035017055,1.1070537142008199,3.5486045495649665,18.995298438915075,12.96339606769083,3.0574,0.0023551635544843776,0.21873323384082208,219.854,0.005417304073349838
AtrSlShort,20230101-20231231,2023,492,-0.32,-320.35712546,0.21544715447154472,0.6188502407845109,-0.6511323688211383,-4.307995982309338,-14.412247897249223,-5.0011576794615085,-3.6966,0.0002430967084909595,0.3362086549800006,336.209,-0.003212358123375947
AtrSlShort,20240101-20241231,2024,463,0.02,16.04219986999997,0.265658747300216,1.0187272290308589,0.034648379848812194,0.15407676459326078,0.5504952693548847,0.39742872669431434,0.1367,0.891363513049513,0.21127992565545275,211.507,0.00016042199870014429
AtrSlShort,20250101-20260601,2025-26,781,0.13,125.49948984,0.23815620998719592,1.0861608776974803,0.16069076804097326,0.700697518384563,3.5883206864005315,1.64048338409234,0.6768,0.49876339499695294,0.2832480019979799,283.408,0.0008875757136725948
PartialtpShort,20210101-20211231,2021,486,-0.44,-444.05809166,0.20987654320987653,0.7082401575101693,-0.9136997770781892,-3.1636179972271363,-9.514860207943448,-3.6609207046752896,-2.7313,0.006537883504089094,0.6366408689999953,636.641,-0.004452753113921015
PartialtpShort,20220101-20221231,2022,400,0.61,614.01003212,0.3625,1.6719700845795418,1.5350250802999996,3.6412980452103705,14.853161833295529,17.39792111489468,3.4645,0.000588869685641103,0.18523504629928253,186.259,0.006157020552136849
PartialtpShort,20230101-20231231,2023,384,-0.27,-265.60637705,0.2890625,0.671113465360721,-0.691683273567709,-2.867776725133139,-6.799960142389757,-4.974137012638844,-2.7846,0.005624774900404944,0.2802630234399985,280.263,-0.0026633509232900643
PartialtpShort,20240101-20241231,2024,372,0.08,83.66257116,0.31989247311827956,1.1072403748962067,0.22489938483870908,0.7056778192867699,2.1242045639615212,2.2292699735573045,0.6981,0.4855727734656225,0.19643646435820264,196.725,0.0008366257116001474
PartialtpShort,20250101-20260601,2025-26,621,-0.03,-31.49077724999995,0.2753623188405797,0.9779994918221829,-0.050709786231883935,-0.17929047239382478,-0.5719063177538144,-0.35255896657375674,-0.1942,0.846112463867811,0.33071077577600516,331.545,-0.00022276479416616368
RotationShort,20210101-20211231,2021,346,-0.53,-531.27526329,0.2832369942196532,0.6358505687299527,-1.5354776395664742,-3.2577748411172682,-8.224744183105317,-3.8950683579000414,-3.332,0.000955553226959538,0.715895380269998,715.895,-0.005327309160737537
RotationShort,20220101-20221231,2022,351,0.6,600.7380964399999,0.4045584045584046,1.703854459000213,1.7115045482621078,3.3499048383121734,12.96086869197249,16.70514310448549,3.4018,0.0007467501460282005,0.18874698466679443,189.752,0.006023934367765493
RotationShort,20230101-20231231,2023,341,-0.25,-252.35944445000004,0.2903225806451613,0.6648655551811329,-0.7400570218475075,-2.5959624842474183,-5.582692390534644,-5.0300227968657545,-2.6745,0.007846278367538732,0.263326555260006,263.327,-0.0025305186168903537
RotationShort,20240101-20241231,2024,319,0.02,23.54703111999998,0.3542319749216301,1.0293581033491952,0.07381514457680227,0.17990401565775938,0.4584154680131478,0.5364055709675666,0.1921,0.8477578187470841,0.22977165155000692,229.772,0.00023547031119997008
RotationShort,20250101-20260601,2025-26,511,0.04,37.30561731000013,0.3287671232876712,1.0286742774102204,0.07300512193737774,0.1934143538352505,0.5257081433704416,0.3967197072435786,0.2309,0.8175130662309166,0.34816666428078935,349.351,0.0002638722321965936
VolBreakoutShort,20210101-20211231,2021,87,-0.18,-184.39476463,0.3448275862068966,0.543156336957795,-2.1194800532183904,-1.196094608240277,-2.604825091941057,-3.826638573954311,-2.4291,0.017216750290405668,0.25291593318000377,252.916,-0.00184900875030658
VolBreakoutShort,20220101-20221231,2022,125,0.18,176.83802316,0.504,1.473358013663052,1.4147041852799993,0.9506858090974382,2.930020368259587,5.770075385254527,1.6136,0.10915874100385592,0.16085672144915836,161.019,0.001773242723881907
VolBreakoutShort,20230101-20231231,2023,91,0.01,7.318292200000005,0.4175824175824176,1.0459978728676071,0.08042079340659325,0.07682217131252941,0.16650393902522878,0.772894434308739,0.1526,0.8790644766385912,0.049697508240002214,49.698,7.338398136025326e-05
VolBreakoutShort,20240101-20241231,2024,96,-0.03,-34.842585930000006,0.4895833333333333,0.8727842203228713,-0.3629436034375,-0.27216275751041963,-0.5545235544735067,-1.4009543714367512,-0.5279,0.5987878483710647,0.13017870797579048,130.28,-0.0003484258593000611
VolBreakoutShort,20250101-20260601,2025-26,164,-0.14,-138.46091884999998,0.4146341463414634,0.757158899522584,-0.8442738954268285,-0.6355637631035208,-1.5181861836204775,-1.7312097496195202,-1.3363,0.1833052806993057,0.29612443881206363,296.125,-0.0009796217090459747
