strategy,window_key,window,trades,profit_total_pct,profit_total_abs,winrate,profit_factor,expectancy,sharpe,sortino,calmar,sqn,p_value,max_dd_pct,max_dd_abs,cagr
VolBreakoutLong,20210101-20211231,2021,33,0.23,225.85822142,0.45454545454545453,2.3643780018172493,6.844188527878786,0.643434702094776,4.528811811437657,24.52338915897675,1.3913,0.17371765439854736,0.07301041273260525,73.221,0.0034226611512560012
VolBreakoutLong,20220101-20221231,2022,77,-0.26,-259.06904968,0.18181818181818182,0.45529154966695745,-3.364533112727273,-0.9648014004248034,-3.598532813178498,-4.288901052320814,-2.0812,0.0407861303507555,0.3170403609012271,317.145,-0.0025977985257480407
VolBreakoutLong,20230101-20231231,2023,133,0.26,258.67408222,0.3233082706766917,1.5259967120605342,1.9449179114285724,0.8066272665340243,4.969327158470773,4.366240216094395,1.3276,0.18660578043112752,0.31094984164553713,311.372,0.002593856461613475
VolBreakoutLong,20240101-20241231,2024,126,0.27,272.2217658400001,0.30952380952380953,1.4490352855897817,2.1604902050793653,0.6279938544601784,4.496779330598528,5.7870057980908625,1.0646,0.2891093305422702,0.24621952951457932,246.401,0.0027222176584000835
VolBreakoutLong,20250101-20260601,2025-26,117,-0.24,-236.47518423,0.3162393162393162,0.5966255911969346,-2.0211554207692313,-1.2144722571089963,-3.5702790619541642,-4.7166624884010195,-2.1768,0.03151827762765846,0.2574863817000005,257.486,-0.0023203054886182795
AtrSlLong,20210101-20211231,2021,164,-0.07,-69.66026885999996,0.20121951219512196,0.9057377894901816,-0.42475773695121966,-0.33303137577429576,-2.617217386607953,-2.1565190716603952,-0.327,0.7440544772216336,0.2560714924702513,256.502,-0.0010548315789483675
AtrSlLong,20220101-20221231,2022,401,-1.18,-1175.77868057,0.12468827930174564,0.3159276830253197,-2.9321164103990025,-7.931624400819927,-36.36984579375119,-5.248619003995268,-7.5371,3.246090859233648e-13,1.1757786805700017,1175.779,-0.011789897249718462
AtrSlLong,20230101-20231231,2023,529,-0.58,-577.89809499,0.15122873345935728,0.6770753457275186,-1.092434962173913,-2.8096021509992437,-23.925633707425956,-2.9245159280932644,-2.3252,0.02043913270353486,1.0371517879592314,1038.319,-0.005794811182058601
AtrSlLong,20240101-20241231,2024,479,-0.34,-339.55074095000015,0.17118997912317327,0.8091996089726314,-0.70887419822547,-1.2993667163462337,-11.281143873820334,-2.0501211284450775,-1.1331,0.2577530090884478,0.8669194140799955,866.919,-0.0033955074095000093
AtrSlLong,20250101-20260601,2025-26,564,-1.53,-1532.19891005,0.1347517730496454,0.3258250561376457,-2.7166647341312053,-12.36874265316482,-56.36605389108434,-5.00345021085569,-10.132,2.8258597129042164e-22,1.5727114871899976,1572.711,-0.015035850697981745
PartialtpLong,20210101-20211231,2021,156,-0.1,-102.93631160000001,0.1858974358974359,0.8606815570002302,-0.6598481512820511,-0.4816692222318576,-3.0705605051729052,-2.87575562505951,-0.4849,0.628425088457313,0.2837566278164342,284.24,-0.0015585810164613356
PartialtpLong,20220101-20221231,2022,337,-1.09,-1087.50269475,0.142433234421365,0.32983969407940217,-3.2270109636498514,-6.54823787534341,-22.646581580050338,-5.24861900399527,-6.7861,5.219146776349934e-11,1.087502694750001,1087.503,-0.01090473990316021
PartialtpLong,20230101-20231231,2023,364,-0.14,-143.39444494,0.2032967032967033,0.8924785072425081,-0.39394078280219746,-0.5798223383116213,-3.561602987508074,-1.0466823725083578,-0.5782,0.563466309368076,0.719055587967713,720.087,-0.0014378810236715944
PartialtpLong,20240101-20241231,2024,383,-0.09,-88.33437265000003,0.20365535248041775,0.941077440610064,-0.23063804869451676,-0.30357547455239586,-2.1295538736512816,-0.8231070973337755,-0.296,0.7674146875668011,0.5617291356346982,561.832,-0.0008833437265000077
PartialtpLong,20250101-20260601,2025-26,436,-1.3,-1303.5154886300002,0.1628440366972477,0.35178758986288433,-2.9897144234633033,-9.109896146666259,-29.997571518583804,-4.990379676400649,-8.4853,3.408324764326334e-16,1.3414858606100024,1341.486,-0.012791445286276737
RotationLong,20210101-20211231,2021,119,0.0,4.045107039999985,0.2605042016806723,1.006228118489761,0.03399249613445399,0.016300361967751458,0.08817231063211409,0.11487120626470995,0.0188,0.9850563687711623,0.2791568095962882,279.904,6.12647068183314e-05
RotationLong,20220101-20221231,2022,274,-0.83,-829.45885389,0.17883211678832117,0.382784782036096,-3.0272220944890504,-4.554606336459305,-15.811112374152541,-5.248619003995281,-5.2328,3.331540818815339e-07,0.829458853889999,829.459,-0.008317280842270569
RotationLong,20230101-20231231,2023,305,0.06,59.738687810000044,0.24918032786885247,1.0544591531506748,0.19586455019672,0.22604218255379674,1.407199025517721,0.554300992027678,0.2462,0.8056964829188077,0.5656594821638904,566.556,0.0005990285422987629
RotationLong,20240101-20241231,2024,315,0.08,84.5830489300001,0.24761904761904763,1.0642766046354792,0.26851761565079446,0.26360400735799433,1.561408966540366,0.8999045762839916,0.2833,0.7771304982501794,0.4919720648426733,492.14,0.0008458304892999813
RotationLong,20250101-20260601,2025-26,365,-1.11,-1112.20025245,0.1863013698630137,0.3838457752589984,-3.0471239793150686,-7.036182685707128,-20.76905597320568,-4.966977226061618,-7.1613,4.454769821367109e-12,1.149990659529998,1149.991,-0.01091386380233883
